ObjectId	Longitude	Latitude	Name	Address_1	Address_2	City	State	Zip	9	10	11	County	Type		
	-81.628339	30.302591	MAYFAIR VILLAGE APTS	3539 BEACH BLVD		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.491449	30.281794	THE DISTRICT STUDENT HOUSING APARTMENTS	3601 S KERNAN BLVD		JACKSONVILLE	FL	32224				Duval	APARTMENT		
	-81.46421	30.287541	NIGHTSCAPE CONDOS	3617 NIGHTSCAPE CIRCLE		JACKSONVILLE	FL	32224				Duval	APARTMENT		
	-81.707987	30.40443	CHRISTINE COVE APTS	3730 SOUTEL DR		JACKSONVILLE	FL	32208				Duval	APARTMENT		
	-81.596751	30.368272	PLAZA APARTMENTS	3780 UNIVERSITY CLUB BLVD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.606907	30.168984	PADDOCK CLUB AT MANDARIN	3900 OLDFIELD CROSSING DR		JACKSONVILLE	FL	32223				Duval	APARTMENT		
	-81.614407	30.205716	MANDARIN LANAI APARTMENTS	3909 SUNBEAM RD		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.612098	30.205756	MANDARIN TRACE APTS	3960 OLD SUNBEAM RD		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.715956	30.387701	WASHINGTON HEIGHTS	4229 MONCRIEF RD W		JACKSONVILLE	FL	32209				Duval	APARTMENT		
	-81.602935	30.205881	LEIGH MEADOWS APTS	4320 SUNBEAM RD		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.730368	30.2623	HERITAGE ON THE RIVER APTS	4375 CONFEDERATE POINT RD		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.729818	30.26148	CONFEDERATE POINT APTS	4455 CONFEDERATE POINT RD		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.464748	30.26754	CAPE HOUSE APTS	4460 HODGES BLVD		JACKSONVILLE	FL	32224				Duval	APARTMENT		
	-81.615495	30.269235	LION HEAD APARTMENT	4950 RICHARD ST		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.573187	30.323068	OAK HAMMOCK APTS	500 ACME ST		JACKSONVILLE	FL	32211				Duval	APARTMENT		
	-81.655687	30.329719	CATHEDRAL TOWNHOUSE	501 N OCEAN ST		JACKSONVILLE	FL	32202				Duval	APARTMENT		
	-81.612616	30.309945	COLONIAL POINT CONDOS	5201 ATLANTIC BLVD		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.768265	30.249352	WESTGATE APARTMENTS	5202 LA VENTURA DR E		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.720585	30.24742	MISSION SPRINGS APARTMENTS	5327 TIMUQUANA RD		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.773054	30.246716	LA CASA DE PRIMA	5521 RICKER RD		JACKSONVILLE	FL	32244				Duval	APARTMENT		
	-81.606419	30.380638	GREGORY COVE APTS	5601 EDENFIELD RD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.727484	30.200734	COURTNEY MANOR APARTMENTS	5620 COLLINS RD		JACKSONVILLE	FL	32244				Duval	APARTMENT		
	-81.603677	30.380686	SUNDANCE APTS	5681 EDENFIELD RD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.745873	30.302904	LENOX COURT APARTMENTS	5710 LENOX AVE		JACKSONVILLE	FL	32205				Duval	APARTMENT		
	-81.602758	30.377803	CASA BELLA APTS	5791 UNIVERSITY CLUB BLVD N		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.599489	30.365694	CAROLINE SQUARE APTS	5959 FORT CAROLINE RD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.65428	30.330212	CATHEDRAL TOWERS	601 N NEWNAN ST		JACKSONVILLE	FL	32202				Duval	APARTMENT		
	-81.740742	30.238145	NATURES HIDEAWAY CONDOMINIUMS	6094 MAGGIES CIR		JACKSONVILLE	FL	32244				Duval	APARTMENT		
	-81.65899	30.372596	TWIN TOWERS	617 W 44TH ST		JACKSONVILLE	FL	32208				Duval	APARTMENT		
	-81.596996	30.270133	HEATHER RIDGE APTS	6200 BARNES RD S		JACKSONVILLE	FL	32216				Duval	APARTMENT		
	-81.749238	30.282013	CASA GRANDE APTS	6455 SAN JUAN AVE		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.590014	30.366394	CAROLINE ARMS	6457 FORT CAROLINE RD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.592046	30.366362	FORT CAROLINE ARMS APTS	6457 FORT CAROLINE RD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.74614	30.202715	LAKE GRAY APTS	6500 LAKE GRAY BLVD		JACKSONVILLE	FL	32244				Duval	APARTMENT		
	-81.546891	30.333655	THE CANOPY APARTMENTS	653 MONUMENT RD		JACKSONVILLE	FL	32225				Duval	APARTMENT		
	-81.621846	30.256972	TAYLOR APARTMENT	6701 CHESTER AVE		JACKSONVILLE	FL	32217				Duval	APARTMENT		
	-81.755008	30.248352	MARCIS POINTE APTS	6734 103RD ST		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.757245	30.248372	FOUNTAIN OAKS APARTMENTS	6870 103RD ST		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.763353	30.226012	SAVANNAH SPRINGS APARTMENTS	6945 MORSE AVE		JACKSONVILLE	FL	32244				Duval	APARTMENT		
	-81.655236	30.33124	CATHEDRAL TERRACE	701 N OCEAN ST		JACKSONVILLE	FL	32202				Duval	APARTMENT		
	-81.613052	30.249155	POINTE SIENNA APARTMENTS	7200 POWERS AVE		JACKSONVILLE	FL	32217				Duval	APARTMENT		
