OBJECTID,LONGITUDE,LATITUDE,POI_NAME,Address_1,Address_2,CITY,STATE,ZIP,RESERVED_1,RESERVED_2,RESERVED_3,COUNTY,POI_TYPE
984,33.65985615234047,-84.40792927149869,Hapeville Recreational Department,3444 North Fulton Avenue,,Hapeville,GA,30354,,,,,
985,33.642027617835254,-84.04168982867657,Johnson Park Recreation Center - Rockdale County Parks and Recreation,"1781 Ebeneezer Road, SW",,Conyers,GA,30094,,,,,
986,33.88809390515246,-84.34516575862773,Lynwood Park,3360 Osborne Road,,Atlanta,GA,30319,,,,,
987,33.80741732783514,-84.30706108820067,Mason Mill Center for Special Populations,1340-B McConnell Drive,,Decatur,GA,30033,,,,,
988,33.60405823457427,-84.55194408070167,Planning and Community Service Department,5565 Stonewall Tell Road,,College Park,GA,30349,,,,,
989,34.019347062176394,-84.34569521694306,Roswell Recreation and Parks - Adult Recreation Center,830 Grimes Bridge Road,,Roswell,GA,30075,,,,,
990,33.88557970960471,-84.51592389521727,Smyrna Parks and Recreation,200 Village Green Circle,,Smyrna,GA,30080,,,,,
991,33.85749667639243,-84.01551894562681,Snellville Senior Center - Recreation and Parks,2350 Oak Road,,Snellville,GA,30078,,,,,
992,33.47702202828992,-84.59563578009636,Tyrone Recreation Department,145 Commerce Drive,,Tyrone,GA,30290,,,,,
993,34.101343222346145,-84.51095262660357,William G. Long Senior Citizens Center - Woodstock,223 Arnold Mill Road,,Woodstock,GA,30188,,,,,
994,33.84986598107821,-84.20802959747664,"50 and Better Center - Eldercare Systems, Inc.",2245 Dillard Street,,Tucker,GA,30084,,,,,
995,33.75453346904169,-84.37800559771546,Auburn Senior Center,"300 Edgewood Avenue, N.E.",,Atlanta,GA,30312,,,,,
996,33.83434756537764,-84.65586117498918,Austell Senior Center,4915 Austell Powder Springs Road,,Austell,GA,30106,,,,,
997,34.079735147038434,-84.57424853991341,Bells Ferry Satellite Neighborhood Senior Center,5323 Bells Ferry Road,,Acworth,GA,30102,,,,,
998,34.340676777868225,-84.38132727338535,Ball Ground Satellite Senior Center,"Ball Ground United Methodist Church
3045 Canton Highway",,Ball Ground,GA,30107,,,,,
999,33.914687057664366,-84.08483725815273,Bethesda Park Senior Center,225 Bethesda Church Road,,Lawrenceville,GA,30044,,,,,
1000,33.71539687331625,-84.38529975500865,Bethlehem Senior Center,"87 Thayer Street, SE",,Atlanta,GA,30315,,,,,
1001,33.71430024186378,-84.09926769341189,Bruce Street/ East DeKalb Senior Center,2484 Bruce Street,,Lithonia,GA,30058,,,,,
1002,34.13071527682473,-83.98746174821042,Buford Senior Center,2755 Sawnee Avenue,,Buford,GA,30518,,,,,
1003,33.85668698769251,-84.56714828431137,C Freeman Poole Center,4025 South Hurt Road,,Smyrna,GA,30082,,,,,
1004,33.637531669111695,-84.47220097056334,Camp Truitt Senior Center,4320 Herschel Road,,College Park,GA,30337,,,,,
